time_spent_weekly,quiz_score_avg,forum_posts,video_watched_percent,assignments_submitted,login_frequency,session_duration_avg,device_type,course_difficulty,region,engagement_level
349.67141530112326,90.99033154879004,1,20.797538778761478,4,2,51.30025712922554,Desktop,Easy,Suburban,Low
286.1735698828815,83.86950524369153,1,26.781292354106654,5,4,47.760362171510444,Desktop,Medium,Urban,Low
364.76885381006923,70.89445554880261,4,84.610069565038,1,11,62.805733819022336,Mobile,Easy,Rural,Medium
452.30298564080255,60.295948334416394,1,81.71786758876851,9,2,37.976527458444565,Mobile,Medium,Suburban,Medium
276.5846625276664,80.47334970420386,3,93.21110563239168,9,4,43.21218351051874,Desktop,Easy,Suburban,Medium
276.58630430508197,75.90228078132624,1,88.36123487285997,0,5,51.31491927417854,Desktop,Hard,Suburban,Medium
457.92128155073914,83.42789830041599,2,74.65404505918545,3,4,46.08622556592756,Desktop,Easy,Rural,Medium
376.7434729152909,79.52757702522955,5,24.186628584053025,6,4,46.01870161201332,Desktop,Easy,Rural,Low
253.0525614065048,85.74329072979003,4,82.6278894389326,5,1,58.49668804989469,Tablet,Medium,Suburban,Medium
354.25600435859644,61.97147182659148,3,87.64086486724483,9,2,19.5591774072066,Mobile,Easy,Urban,Low
253.65823071875377,89.76091098451488,3,83.92657166175636,0,9,75.50188617708358,Desktop,Medium,Rural,Medium
253.42702464297432,72.963994070386,5,60.67832282464209,0,6,52.28850026976842,Desktop,Hard,Urban,Low
324.1962271566034,100.0,3,38.63214709195853,7,7,38.99608005278614,Tablet,Easy,Rural,Medium
108.67197553422022,59.66218272865648,2,87.62639805509814,3,6,69.42079362523185,Mobile,Medium,Suburban,Low
127.50821674869673,96.03945704747875,1,78.17302477921108,4,4,46.553010760556006,Mobile,Hard,Rural,Low
243.77124707590272,72.96866175193972,2,98.46089395110812,6,10,46.94847806394386,Desktop,Medium,Rural,Medium
198.71688796655764,60.22872994578327,1,32.45540782047463,7,3,41.779450759700545,Mobile,Hard,Urban,Low
331.4247332595274,62.741712489185176,2,38.053166644164406,9,9,67.0154049580133,Desktop,Easy,Suburban,Low
209.1975924478789,65.1947903770852,1,36.943851990520216,6,0,44.859735312481625,Mobile,Easy,Urban,Low
158.76962986647086,76.36248919602875,3,83.40318140970695,1,8,36.623760512088026,Tablet,Easy,Urban,Medium
446.56487689215544,77.8425323205325,3,34.95258371600946,3,7,59.981594532897766,Desktop,Medium,Urban,Medium
277.4223699513464,61.394499940921314,6,25.332786385864487,9,1,62.74433063633048,Desktop,Medium,Urban,Low
306.7528204687924,69.63468111608526,5,99.8848645268503,0,3,69.0991247050821,Desktop,Easy,Suburban,Low
157.5251813786543,100.0,6,21.98537691561193,9,4,54.50398563074451,Desktop,Medium,Rural,Medium
245.56172754748172,95.91314755151066,1,86.81952481270925,8,4,62.19399742864725,Desktop,Easy,Suburban,Medium
311.0922589709866,76.54485504511048,2,49.22934732405223,2,5,41.11120211102561,Tablet,Hard,Urban,Low
184.90064225776973,70.570052172523,4,87.32923678062522,2,8,60.3869912992246,Desktop,Easy,Rural,Medium
337.5698018345672,71.80046990077392,2,64.36963929689159,9,8,56.137839089008,Mobile,Easy,Rural,Low
239.9361310081195,79.20276959095625,1,92.13049835890881,8,4,52.956904034139896,Mobile,Medium,Suburban,Medium
270.8306250206723,54.658111522023916,4,94.09543891317013,9,1,21.643128588494555,Tablet,Easy,Suburban,Low
239.82933877706031,66.13935193864982,4,20.72785450246208,2,7,39.17739039683888,Mobile,Medium,Rural,Low
485.2278184508938,44.97123889183616,1,26.032974079423063,7,3,44.31427489980214,Desktop,Medium,Urban,Low
298.6502775262066,75.98834683907918,4,40.02869836566844,1,2,52.97394040852842,Desktop,Hard,Rural,Low
194.22890710440998,79.70793909554112,3,73.54523330908013,2,7,81.0110566308669,Desktop,Medium,Rural,Medium
382.2544912103189,62.75220306550939,1,91.06177572092048,1,2,57.88865874528136,Mobile,Medium,Rural,Low
177.91563500289777,93.6098014493505,2,56.79535610351702,0,8,32.84979958842957,Desktop,Hard,Urban,Medium
320.8863595004755,51.61351505496488,1,68.55784930194123,1,6,37.79634720226324,Desktop,Hard,Rural,Low
104.03298761202245,48.0343767968527,2,35.07998822364489,7,4,65.84795553525987,Desktop,Medium,Urban,Low
167.18139511015696,73.36677727839958,2,84.39734671053483,8,6,37.13669678823199,Mobile,Medium,Suburban,Low
319.68612358691234,85.70647453918232,3,97.38624890827758,1,5,60.28056746282021,Desktop,Medium,Rural,Medium
373.84665799954104,95.25891537186803,4,41.4879146331678,6,3,46.758331353535134,Desktop,Medium,Urban,Low
317.1368281189971,63.1167360569659,4,59.58607612804371,4,9,42.50416590800361,Desktop,Hard,Urban,Low
288.4351717611759,86.18021250146944,0,26.889288840509906,2,5,37.36401915063123,Mobile,Medium,Rural,Low
269.8896304410711,69.42237295748939,3,64.73093251703747,8,5,10.0,Mobile,Easy,Rural,Low
152.14780096325725,67.41059050088771,0,60.222675347734445,5,6,53.09626686301204,Desktop,Easy,Rural,Low
228.01557916052914,83.25489906230008,3,31.554918732406207,0,5,29.21805355484896,Mobile,Easy,Urban,Low
253.93612290402126,79.78484317620129,1,55.365297049446,4,4,23.724486003527314,Desktop,Easy,Suburban,Low
405.71222262189156,46.35411764523626,4,46.72837216692506,6,3,48.71662052828776,Desktop,Easy,Urban,Low
334.3618289568461,92.14810524588844,5,61.746470024415146,3,2,60.443143169366635,Desktop,Medium,Suburban,Low
123.6959844637266,90.70137031221176,1,66.85234683430394,7,6,19.547878678609113,Mobile,Easy,Urban,Low
332.40839693947953,60.61655947735706,3,20.679646288576762,9,3,60.05093261470543,Mobile,Medium,Suburban,Low
261.49177195836836,75.93705300156114,3,80.88047863596444,4,4,31.451911153074512,Desktop,Easy,Urban,Medium
232.30779996940413,77.41045279424108,3,77.04114334893927,8,6,54.73396584049384,Mobile,Easy,Rural,Low
361.1676288840868,73.9101064873586,2,49.30291089652178,8,4,53.684238058527505,Desktop,Medium,Suburban,Low
403.0999522495951,61.7454226923187,3,24.23487484550546,8,7,41.90034827327105,Tablet,Hard,Suburban,Medium
393.12801191161986,59.92564948092922,3,80.39460318280403,0,9,45.44809401842246,Mobile,Medium,Urban,Medium
216.07824767773616,69.61668893512832,4,96.4140128382506,1,10,39.05699514783407,Mobile,Medium,Suburban,Medium
269.07876241487855,87.59093528889048,3,39.21212768176113,2,7,48.95305885391242,Mobile,Medium,Urban,Medium
333.1263431403564,78.15400231891648,1,45.88196909896303,3,6,48.82059139522922,Tablet,Easy,Urban,Low
397.5545127122359,64.44078501870841,2,34.7050311585452,9,5,31.141721940289475,Tablet,Medium,Suburban,Low
