time_spent_weekly,quiz_score_avg,forum_posts,video_watched_percent,assignments_submitted,login_frequency,session_duration_avg,device_type,course_difficulty,region,engagement_level,anomaly_score,is_outlier,dropout_risk_flag
349.67141530112326,90.99033154879004,1,20.79753877876148,4,2,51.30025712922554,Desktop,Easy,Suburban,Low,0.03917866312807494,0,Normal
286.1735698828815,83.86950524369153,1,26.78129235410665,5,4,47.76036217151045,Desktop,Medium,Urban,Low,0.10043979961070648,0,Normal
364.7688538100692,70.89445554880261,4,84.610069565038,1,11,62.805733819022336,Mobile,Easy,Rural,Medium,-9.594038146210071e-05,1,High Risk
452.30298564080255,60.2959483344164,1,81.71786758876851,9,2,37.976527458444565,Mobile,Medium,Suburban,Medium,0.039254986928242586,0,Normal
276.5846625276664,80.47334970420386,3,93.21110563239168,9,4,43.21218351051874,Desktop,Easy,Suburban,Medium,0.09063795099399741,0,Normal
276.586304305082,75.90228078132624,1,88.36123487285997,0,5,51.31491927417854,Desktop,Hard,Suburban,Medium,0.0632457993920495,0,Normal
457.9212815507392,83.42789830041599,2,74.65404505918545,3,4,46.08622556592756,Desktop,Easy,Rural,Medium,0.09820108835144686,0,Normal
376.7434729152909,79.52757702522955,5,24.186628584053025,6,4,46.01870161201332,Desktop,Easy,Rural,Low,0.0781754474816862,0,Normal
253.0525614065048,85.74329072979003,4,82.6278894389326,5,1,58.49668804989469,Tablet,Medium,Suburban,Medium,0.06098440002310035,0,Normal
354.25600435859644,61.97147182659148,3,87.64086486724483,9,2,19.5591774072066,Mobile,Easy,Urban,Low,0.039435119950402386,0,Normal
253.65823071875377,89.76091098451488,3,83.92657166175636,0,9,75.50188617708358,Desktop,Medium,Rural,Medium,-0.0010445253670295918,1,High Risk
253.42702464297432,72.963994070386,5,60.67832282464209,0,6,52.28850026976842,Desktop,Hard,Urban,Low,0.08261880079875239,0,Normal
324.1962271566034,100.0,3,38.63214709195853,7,7,38.99608005278614,Tablet,Easy,Rural,Medium,0.068507779714438,0,Normal
108.67197553422022,59.66218272865648,2,87.62639805509814,3,6,69.42079362523185,Mobile,Medium,Suburban,Low,0.034225097342602595,0,Normal
127.50821674869673,96.03945704747876,1,78.17302477921108,4,4,46.553010760556006,Mobile,Hard,Rural,Low,0.05232089583245375,0,Normal
243.77124707590272,72.96866175193972,2,98.46089395110812,6,10,46.94847806394386,Desktop,Medium,Rural,Medium,0.027072040688937538,0,Normal
198.71688796655764,60.22872994578327,1,32.45540782047463,7,3,41.77945075970055,Mobile,Hard,Urban,Low,0.08446571782116569,0,Normal
331.4247332595274,62.741712489185176,2,38.053166644164406,9,9,67.0154049580133,Desktop,Easy,Suburban,Low,0.02911361477387797,0,Normal
209.1975924478789,65.1947903770852,1,36.943851990520216,6,0,44.859735312481625,Mobile,Easy,Urban,Low,0.05954398809453504,0,Normal
158.76962986647086,76.36248919602875,3,83.40318140970695,1,8,36.623760512088026,Tablet,Easy,Urban,Medium,0.06620815766049037,0,Normal
446.5648768921554,77.8425323205325,3,34.95258371600946,3,7,59.981594532897766,Desktop,Medium,Urban,Medium,0.07458285199170306,0,Normal
277.4223699513464,61.394499940921314,6,25.332786385864487,9,1,62.74433063633048,Desktop,Medium,Urban,Low,-0.00509269238394372,1,High Risk
